title,year,author,journal,doi,type,issn,shortname,journal_short,publisher,issue,volume,page,published,subject,abstract,licence,pmid,keyword,pmcid
Rethinking the Control of Nuisance Variables in Theory Testing,2006.0,"[{'given': 'James A.', 'family': 'Breaugh', 'name': 'James A. Breaugh'}]",Journal of Business and Psychology,10.1007/s10869-005-9009-y,journal-article,"['0889-3268', '1573-353X']",J Bus Psychol,J Bus Psychol,Springer Science and Business Media LLC,3,20,429-443,2006-03-01,"['General Psychology', 'Applied Psychology', 'General Business, Management and Accounting', 'Business and International Management']",,,,,
An Investigation of Interviewer Note-taking in the Field.,2021.0,"[{'given': 'Jacob', 'family': 'Fischer', 'name': 'Jacob Fischer'}, {'given': 'James', 'family': 'Breaugh', 'name': 'James Breaugh'}]",Personnel Assessment and Decisions,10.25035/pad.2021.02.002,journal-article,['2377-8822'],PAD,PAD,Bowling Green State University Libraries,2,7,,2021-10-01,,"Although a key component of a structured interview is note taking, relatively few studies have investigated the effects of note taking. To address this lack of research, we conducted a study that examined the effects of note taking in a work setting. As predicted, we found that the total number of notes taken by interviewers and the level of detail of these notes were positively related to the ratings these interviewers gave to job applicants, that interviewer ratings of applicants who were hired were predictive of their job performance ratings, and that interviewer ratings mediated the relationships between note taking and performance ratings (i.e., the number of notes and their level of detail did not have a direct effect on performance ratings). We also showed that, if uncontrolled, interviewer nesting can result in misleading conclusions about the value of taking detailed notes.",cc-by,,,
Statistical Control in Correlational Studies,,,,,,,,,,,,,,,,,,,
An Investigation of Interviewer Note-taking in the Field.,2021.0,"[{'given': 'Jacob', 'family': 'Fischer', 'name': 'Jacob Fischer'}, {'given': 'James', 'family': 'Breaugh', 'name': 'James Breaugh'}]",Personnel Assessment and Decisions,10.25035/pad.2021.02.002,journal-article,['2377-8822'],PAD,PAD,Bowling Green State University Libraries,2,7,,2021-10-01,,"Although a key component of a structured interview is note taking, relatively few studies have investigated the effects of note taking. To address this lack of research, we conducted a study that examined the effects of note taking in a work setting. As predicted, we found that the total number of notes taken by interviewers and the level of detail of these notes were positively related to the ratings these interviewers gave to job applicants, that interviewer ratings of applicants who were hired were predictive of their job performance ratings, and that interviewer ratings mediated the relationships between note taking and performance ratings (i.e., the number of notes and their level of detail did not have a direct effect on performance ratings). We also showed that, if uncontrolled, interviewer nesting can result in misleading conclusions about the value of taking detailed notes.",cc-by,,,
Potential Ways to Predict and Manage Telecommuters' Feelings of Professional Isolation,2021.0,"[{'given': 'Maria A.', 'family': 'Spilker', 'name': 'Maria A. Spilker'}, {'given': 'James A.', 'family': 'Breaugh', 'name': 'James A. Breaugh'}]",Journal of Vocational Behavior,10.1016/j.jvb.2021.103646,journal-article,['0001-8791'],Journal of Vocational Behavior,Journal of Vocational Behavior,Elsevier BV,,131,103646,2021-12-01,"['Life-span and Life-course Studies', 'Organizational Behavior and Human Resource Management', 'Applied Psychology', 'Education']",,,,,
"A multi-sample path analysis including a novel of psychological indicator, attitude toward life, after the first wave of COVID-19.",,,,,,,,,,,,,,,,,,,
Implementation Science: Changing Practice in Oral Health (R),,,,,,,,,,,,,,,,,,,
A model of safe patient handling and mobility,,,,,,,,,,,,,,,,,,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
Adverse Event Reporting Priorities: An Integrative Review,2022.0,"[{'given': 'Maureen L.', 'family': 'Falcone', 'name': 'Maureen L. Falcone'}, {'given': 'Stephanie K.', 'family': 'Van Stee', 'name': 'Stephanie K. Van Stee'}, {'given': 'Umit', 'family': 'Tokac', 'name': 'Umit Tokac'}, {'given': 'Anne F.', 'family': 'Fish', 'name': 'Anne F. Fish'}]",Journal of Patient Safety,10.1097/pts.0000000000000945,journal-article,"['1549-8425', '1549-8417']",J Patient Saf,J Patient Saf,Ovid Technologies (Wolters Kluwer Health),4,18,e727-e740,2022-06-01,"['Public Health, Environmental and Occupational Health', 'Leadership and Management']",,,,,
NSSI by proxy,,,,,,,,,,,,,,,,,,,
Are the insulin injection guidelines really evidence-based,,,,,,,,,,,,,,,,,,,
Factor structure and construct validity of a hospital survey on patient safety culture survey using exploratory factor analysis.,,,,,,,,,,,,,,,,,,,
Knowledge of A1c Predicts Diabetes Self-Management and A1c Level among Chinese Patients with Type 2 Diabetes (R),,,,,,,,,,,,,,,,,,,
"Frequency, severity, and risk factors related to sexual dysfunction in women with type 2 diabetes in China (R)",,,,,,,,,,,,,,,,,,,
Teaching health disparity awareness on the road.,,,,,,,,,,,,,,,,,,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
Conceptualization and measurement of body image after bariatric surgery. (R),,,,,,,,,,,,,,,,,,,
Determinants of key inflection points for maladaptive responses in US nurses during the pandemic: A network analysis.,,,,,,,,,,,,,,,,,,,
Communication in hospital settings: A systematic review.,,,,,,,,,,,,,,,,,,,
Implementing a Self-care Clock Strategy as a Part of a Trauma Awareness Intervention,,,,,,,,,,,,,,,,,,,
Use of the Hage Framework for Theory Construction: Factors affecting glucose control in the college-aged student with type 1 diabetes. (R),,,,,,,,,,,,,,,,,,,
Correlates of pericardial adipose tissue volume using CT scanning in cardiac patients in China (R),,,,,,,,,,,,,,,,,,,
Diabetes-related distress and its associated factors among patients with type 2 diabetes in China (R),,,,,,,,,,,,,,,,,,,
"Inpatient glycemic management in internal medicine: An observational multicenter study in Nanjing, China (R)",,,,,,,,,,,,,,,,,,,
The compelling and persistent problem of  bipolar disorder disguised as major depression disorder: An integrative review (R),,,,,,,,,,,,,,,,,,,
"Nurse practitioner-led, computer-based diabetes education intervention implemented for quality improvement in primary care (R)",,,,,,,,,,,,,,,,,,,
Effect of case management on glycemic control and behavioral outcomes for chinese people with type 2 diabetes: A 2-year study (R),,,,,,,,,,,,,,,,,,,
Staying fit during the holidays: Plan to keep moving and have fun (E),,,,,,,,,,,,,,,,,,,
Enhancing physical activity through health care providers: Exercise is Medicine®.,,,,,,,,,,,,,,,,,,,
Will UK's idea of changing food labels catch on,,,,,,,,,,,,,,,,,,,
Eggs and cardiovascular health: A continuing controversy (E),,,,,,,,,,,,,,,,,,,
"What's New in Nutrition: The ""PURE DIET."" (E)",,,,,,,,,,,,,,,,,,,
"The ""seeing place"": Teaching nurse practitioners about cultural difference through dramatization",2021.0,"[{'given': 'Roxanne', 'family': 'Vandermause', 'name': 'Roxanne Vandermause'}, {'given': 'Anne F', 'family': 'Fish', 'name': 'Anne F Fish'}, {'given': 'Annah', 'family': 'Bender', 'name': 'Annah Bender'}, {'given': 'Laura', 'family': 'Kuensting', 'name': 'Laura Kuensting'}, {'given': 'Natalie', 'family': 'Murphy', 'name': 'Natalie Murphy'}, {'given': 'Roberta', 'family': 'Lavin', 'name': 'Roberta Lavin'}]",Nurse education today,10.1016/j.nedt.2020.104689,journal-article,0260-6917,Nurse Educ Today,Nurse Educ Today,Elsevier BV,,97,104689,2021-02-01,"['Education', 'General Nursing']","<h4>Background</h4>The use of dramatization in health professional education is one method to teach students about implicit bias and cultural difference, yet it has not been widely studied among graduate students of nursing.<h4>Objectives</h4>The purpose of this article is to present a qualitative analysis of data regarding doctoral nursing students' responses to a new dramatic exercise as part of a funded project to facilitate cultural learning in a diversity-enhanced nursing curriculum.<h4>Design</h4>We employed a cross-sectional posttest design with qualitative data collection and hermeneutic analysis. Setting and.<h4>Participants</h4>Subjects were students from two cohorts in a Doctor of Nursing Practice program at a large metropolitan university in the Midwestern United States (n = 136).<h4>Methods</h4>Following a dramatic exercise facilitated by a local theatre group, students debriefed and provided feedback via paper-based surveys collected by their instructor. The research team reviewed and analyzed student feedback with an eye toward new learning or insights around cultural difference.<h4>Results</h4>Students rated the dramatic exercise highly. Their written feedback provided for a deeper exploration of how they internalized messages about cultural difference. These experiences were thematized in the following way: (a) Awareness is facilitated through integrating nonverbal (kinesthetic) and verbal encounters, (b) Hesitancy to participate in unfamiliar activities creates tension, and (c) Safety is a foundational aspect of learning sensitive issues.<h4>Conclusion</h4>Dramatization of culturally sensitive scenarios for advanced practice nurses can lead to new understanding. Educators who understand the need for thoughtful introduction of dramatization experiences can better prepare nurses for interaction in cross-cultural clinical environments.",,33302185.0,"['Cultural Competency', 'Drama', 'Graduate Nursing Education', 'Humans', 'Cross-Sectional Studies', 'Curriculum', 'Education, Nursing, Baccalaureate', 'Students, Nursing', 'Teaching', 'Nurse Practitioners', 'Midwestern United States']",
Best practice guidelines for meta-reviews in physical activity and health research,,,,,,,,,,,,,,,,,,,
Natural flavors,2017.0,"[{'given': 'Matthew J', 'family': 'Goodman', 'name': 'Matthew J Goodman'}]",Food and drug law journal,,,1064-590X,Food Drug Law J,Food Drug Law J,,1,72,78-102,2017-01-01,,"Food branded with a Natural label can be found in any grocery store across the United States. Consumers consider this label to be an important attribute when making a purchasing decision and billions of dollars are spent annually on these products. While many consumers believe Natural foods are healthier, heavy reliance on that assumption is misguided as “Natural” has no formal legal definition—it’s merely defined pursuant to an FDA approved informal policy. Another important health attribute in a consumer’s purchasing decision is the presence of natural flavors in food. However, unlike the term Natural, FDA has promulgated legally binding regulations for natural flavors. These flavors are currently the fourth most common food ingredient listed on food labels. In reality, “natural flavors” are a far cry from what consumers might expect, as they can contain both artificial and synthetic chemicals (often used as processing aids). Nonetheless, without a legally binding Natural regulation, there has been little opportunity to contest the naturalness of natural flavors in the past. Recently, FDA has initiated a notification of request for comments on use of the term Natural, so an attempt to promulgate regulations may be underway. Thus, it is appropriate to consider where natural flavors will fall if binding regulations are set forth. This article looks at the Natural debate, its history, and model regulatory standards worth considering. Within that context, it also provides a critical discussion concerning a misunderstood, yet federally regulated, ingredient that our society so heavily consumes: natural flavors.",,29140655.0,"['Humans', 'United States Department of Agriculture', 'United States Food and Drug Administration', 'Food Labeling', 'United States', 'Terminology as Topic']",
The role of exosomes in B-cell function: A scoping review. Journal of Extracellular Vesicles (R),,,,,,,,,,,,,,,,,,,
Sex differences in 10-year ischemic cardiovascular disease risk prediction in Chinese patients with prediabetes and type 2 diabetes (R),,,,,,,,,,,,,,,,,,,
"Bath salts-induced psychosis: Nursing assessment, diagnosis, and treatment, and outcomes (R)",,,,,,,,,,,,,,,,,,,
Wet cupping: A systematic review and meta-analysis (R),,,,,,,,,,,,,,,,,,,
A journey with ALS (R),,,,,,,,,,,,,,,,,,,
A new idea for changing cardiovascular care (E),,,,,,,,,,,,,,,,,,,
Psychosocial factors not metabolic control impact the quality of life among patients with type 2 diabetes in China (R),,,,,,,,,,,,,,,,,,,
Therapeutic patient education: Possible for all CV patients (E),,,,,,,,,,,,,,,,,,,
Relation of carotid artery plaque to coronary heart disease and stroke in Chinese patients: does hyperglycemic status matter,,,,,,,,,,,,,,,,,,,
Web-based training modules for nurse practitioner preceptors (R),,,,,,,,,,,,,,,,,,,
PCNA's role in the new hypertension guidelines: An interview with Cheryl Dennison Himmerlfarb (E),,,,,,,,,,,,,,,,,,,
"Promotion of physical activity: Complete Streets, the National Physical Activity Plan, and Sharing the Road initiatives (E)",,,,,,,,,,,,,,,,,,,
Seen sugar alcohols on a food label recently,,,,,,,,,,,,,,,,,,,
Supervised exercise therapy for patients for symptomatic peripheral artery disease: It's a big deal,,,,,,,,,,,,,,,,,,,
Testing a model of body image early after bariatric surgery.  (R),,,,,,,,,,,,,,,,,,,
Radiolabeled Rhein as Small-Molecule Necrosis Avid Agents for Imaging of Necrotic Myocardium (R),,,,,,,,,,,,,,,,,,,
Reduced counterregulatory hormone responses in patients with diabetes mellitus (R),,,,,,,,,,,,,,,,,,,
More reasons to switch to Mediterranean (E),,,,,,,,,,,,,,,,,,,
Tips to Enjoy a Heart-Healthy Holiday (E),,,,,,,,,,,,,,,,,,,
2018 National Physical Activity Guidelines (E),,,,,,,,,,,,,,,,,,,
Exercise strategies for prevention from Exercise is Medicine (E),,,,,,,,,,,,,,,,,,,
"Promotion of physical activity: Complete streets, the National Physical Activity Plan, and Sharing the Road Initiative (E)",,,,,,,,,,,,,,,,,,,
Cardiovascular health in African Americans. (E),,,,,,,,,,,,,,,,,,,
Identifying the complexity of diagnosis of bipolar disorder (R),,,,,,,,,,,,,,,,,,,
The ways character strengths support K-8 mathematics and the Common Core State Standards.,,,,,,,,,,,,,,,,,,,
Toward a science of character education: Frameworks for identifying and implementing effective practice,,,,,,,,,,,,,,,,,,,
Leading with and for character: The implications of current character education practices for military leadership.,,,,,,,,,,,,,,,,,,,
Implementing and Assessing Evidence-Based Character Education,2022.0,"[{'given': 'Marvin W', 'family': 'Berkowitz', 'name': 'Marvin W Berkowitz'}]",Journal of Education,10.1177/00220574211026908,journal-article,"['0022-0574', '2515-5741']",Journal of Education,Journal of Education,SAGE Publications,2,202,191-197,2022-04-01,['Education']," Those who implement character education initiatives intend for those initiatives to be effective in promoting the development of character. To maximize this likelihood, it is important to consider common problems of implementation and assessment. This article addresses four challenges to effective implementation: (a) what counts as evidence of effectiveness, (b) how to know about such evidence, (c) how to implement with fidelity, and (d) how to align implementation with targeted outcomes. Assessment is critical to addressing the challenge of effective practice. Here, we examine three core areas of assessment in character education: (a) implementation (process evaluation), (b) school climate, and (c) character development (outcome assessment). ",,,,
A Meta-Analysis of the What Works in Character Education Research,,,,,,,,,,,,,,,,,,,
The 11 Principles of Effective Character Education,,,,,,,,,,,,,,,,,,,
A Comprehensive Meta-Analysis of Character Education Programs,2023.0,"[{'given': 'Mitch', 'family': 'Brown', 'name': 'Mitch Brown'}, {'given': 'Robert E.', 'family': 'McGrath', 'name': 'Robert E. McGrath'}, {'given': 'Melinda C.', 'family': 'Bier', 'name': 'Melinda C. Bier'}, {'given': 'Keith', 'family': 'Johnson', 'name': 'Keith Johnson'}, {'given': 'Marvin W.', 'family': 'Berkowitz', 'name': 'Marvin W. Berkowitz'}]",Journal of Moral Education,10.1080/03057240.2022.2060196,journal-article,"['0305-7240', '1465-3877']",Journal of Moral Education,Journal of Moral Education,Informa UK Limited,2,52,119-138,2023-04-03,['Religious studies'],,,,,
"Education and AI: preparing for the future & AI, Attitudes and Values.",,,,,,,,,,,,,,,,,,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
"Introducing the complexity of character education: A review of Understanding character education: Approaches, applications and issues",,,,,,,,,,,,,,,,,,,
Identification of practices to promote character development in university residential contexts: the case of Residence Halls,,,,,,,,,,,,,,,,,,,
What's happing in Character Education,,,,,,,,,,,,,,,,,,,
<span style,2017.0,"[{'given': 'Serdal', 'family': 'Okur', 'name': 'Serdal Okur'}, {'given': 'Mohsen', 'family': 'Nami', 'name': 'Mohsen Nami'}, {'given': 'Ashwin K', 'family': 'Rishinaramangalam', 'name': 'Ashwin K Rishinaramangalam'}, {'given': 'Sang H', 'family': 'Oh', 'name': 'Sang H Oh'}, {'given': 'Steve P', 'family': 'DenBaars', 'name': 'Steve P DenBaars'}, {'given': 'Sheng', 'family': 'Liu', 'name': 'Sheng Liu'}, {'given': 'Igal', 'family': 'Brener', 'name': 'Igal Brener'}, {'given': 'Daniel F', 'family': 'Feezell', 'name': 'Daniel F Feezell'}]",Optics express,10.1364/oe.25.002178,journal-article,1094-4087,Opt Express,Opt Express,The Optical Society,3,25,2178-2186,2017-02-01,"['Atomic and Molecular Physics, and Optics']","The internal quantum efficiencies (IQE) and carrier lifetimes of semipolar (202¯1¯) InGaN/GaN LEDs with different active regions are measured using temperature-dependent, carrier-density-dependent, and time-resolved photoluminescence. Three active regions are investigated: one 12-nm-thick single quantum well (SQW), two 6-nm-thick QWs, and three 4-nm-thick QWs. The IQE is highest for the 12-nm-thick SQW and decreases as the well width decreases. The radiative lifetimes are similar for all structures, while the nonradiative lifetimes decrease as the well width decreases. The superior IQE and longer nonradiative lifetime of the SQW structure suggests using thick SQW active regions for high brightness semipolar (202¯1¯) LEDs.",cc-by,29519065.0,,
Implementing and Assessing Evidence-Based Character Education,2022.0,"[{'given': 'Marvin W', 'family': 'Berkowitz', 'name': 'Marvin W Berkowitz'}]",Journal of Education,10.1177/00220574211026908,journal-article,"['0022-0574', '2515-5741']",Journal of Education,Journal of Education,SAGE Publications,2,202,191-197,2022-04-01,['Education']," Those who implement character education initiatives intend for those initiatives to be effective in promoting the development of character. To maximize this likelihood, it is important to consider common problems of implementation and assessment. This article addresses four challenges to effective implementation: (a) what counts as evidence of effectiveness, (b) how to know about such evidence, (c) how to implement with fidelity, and (d) how to align implementation with targeted outcomes. Assessment is critical to addressing the challenge of effective practice. Here, we examine three core areas of assessment in character education: (a) implementation (process evaluation), (b) school climate, and (c) character development (outcome assessment). ",,,,
For the Better,2006.0,"[{'given': 'Nick', 'family': 'Edwards', 'name': 'Nick Edwards'}, {'given': 'Alexis', 'family': 'Nolan', 'name': 'Alexis Nolan'}]",The Health service journal,,,0952-2271,Health Serv J,Health Serv J,,5997,116,24-27,2006-03-01,,A dedicated turnaround team at St George's Healthcare trust has helped cuts its deficit in half in under two years. Work at Eastern Birmingham PCT could be under threat as a result of Commissioning a Patient-led NHS reforms. Cultural changes at South Yorkshire Ambulance,,16583753.0,"['Hospitals, Public', 'State Medicine', 'Organizational Culture', 'United Kingdom']",
